Player,Historic Stats,Injury Probabilities,SeasonInjury,Projected Games Missed,Projected Points
"Mark Ingram, RB NO",9|||||||||,High Risk,81%,3.6,93.2
"Jerick McKinnon, RB KC",4||||,Medium Risk,57%,1.6,87.5
"Damien Williams, RB ATL",6||||||,Very High Risk,92%,3.4,82.5
"Ronald Jones, RB KC",7|||||||,Medium Risk,64%,1.3,81.2
"Rex Burkhead, RB HOU",9|||||||||,High Risk,83%,3.8,79.7
"Ty Montgomery, RB NE",10||||||||||,High Risk,79%,4.7,74.4
"Samaje Perine, RB CIN",4||||,Low Risk,43%,1.7,72.2
"Zack Moss, RB BUF",6||||||,High Risk,80%,2.3,72.1
"Darrel Williams, RB ARI",6||||||,High Risk,80%,2.9,70.8
"Ameer Abdullah, RB LVR",4||||,Low Risk,30%,1.2,69.9
"Kenyan Drake, RB BAL",9|||||||||,Medium Risk,49%,0.9,67.6
"Gus Edwards, RB BAL",4||||,Very Low Risk,16%,1,65.5
"Chuba Hubbard, RB CAR",2||,Medium Risk,49%,1.8,64.8
"Mike Davis, RB BAL",4||||,Low Risk,45%,0.9,63.2
"Sony Michel, RB LAC",10||||||||||,Medium Risk,69%,1.6,62.7
"Joshua Kelley, RB LAC",1|,Very Low Risk,19%,0.7,61.8
"Devontae Booker, RB UNS",3|||,Low Risk,35%,1,57.5
"Ke'Shawn Vaughn, RB TB",1|,Very Low Risk,10%,1,56.1
"Giovani Bernard, RB TB",14||||||||||||||,Low Risk,31%,0.3,53.6
"Myles Gaskin, RB MIA",4||||,High Risk,85%,2.3,49.4
"Demetric Felton, RB CLE",0.00,Very Low Risk,7%,0.2,46.9
"Justice Hill, RB BAL",4||||,Very Low Risk,16%,0.9,41
"Benny Snell, RB PIT",2||,Low Risk,39%,1,21
"Jermar Jefferson, RB DET",5|||||,Low Risk,39%,1.1,18.7
"Travis Kelce, TE KC",8||||||||,Medium Risk,42%,0.7,274
"Mark Andrews, TE BAL",4||||,Low Risk,35%,0.7,241
"Kyle Pitts, TE ATL",4||||,Medium Risk,73%,2.6,224.8
"Darren Waller, TE LVR",9|||||||||,Low Risk,41%,2.1,207.7
"Dallas Goedert, TE PHI",6||||||,Medium Risk,58%,0.9,201.9
"George Kittle, TE SF",10||||||||||,Very High Risk,92%,3.1,198.2
"Dalton Schultz, TE DAL",2||,Very Low Risk,15%,1.9,196.3
"T.J. Hockenson, TE DET",6||||||,High Risk,74%,3.7,183.9
"Zach Ertz, TE ARI",11|||||||||||,Very High Risk,89%,4.6,163.1
"Dawson Knox, TE BUF",3|||,High Risk,85%,2.9,163.1
"Pat Freiermuth, TE PIT",3|||,Very Low Risk,13%,0.4,159.2
"Evan Engram, TE JAC",9|||||||||,Very High Risk,92%,3.8,157.6
"Irv Smith, TE MIN",4||||,Very Low Risk,22%,0.5,155.9
"Tyler Higbee, TE LAR",8||||||||,High Risk,79%,2.7,155.8
"Cole Kmet, TE CHI",2||,Medium Risk,63%,1.5,155.1
"David Njoku, TE CLE",3|||,High Risk,81%,5.9,153.5
"Albert Okwuegbunam, TE DEN",6||||||,Very High Risk,90%,2.8,152.7
"Gerald Everett, TE LAC",4||||,Medium Risk,45%,1.5,152.7
"Hunter Henry, TE NE",7|||||||,Medium Risk,65%,1.8,152
"Mike Gesicki, TE MIA",2||,Low Risk,31%,0.7,150.2
"Noah Fant, TE SEA",6||||||,Very High Risk,89%,3.1,146.4
"Hayden Hurst, TE CIN",5|||||,Medium Risk,51%,1.8,143.4
"Logan Thomas, TE WAS",4||||,Very Low Risk,23%,1.4,141.8
"Robert Tonyan, TE GB",3|||,Medium Risk,54%,1.2,134.4
"Austin Hooper, TE TEN",4||||,Very Low Risk,22%,0.9,130
"Brevin Jordan, TE HOU",5|||||,High Risk,82%,3.4,128
"Mo Alie-Cox, TE IND",3|||,High Risk,80%,2,101.2
"Cameron Brate, TE TB",2||,Low Risk,38%,1.6,88.8
"Harrison Bryant, TE CLE",1|,Low Risk,32%,0.9,84.6
"Jonnu Smith, TE NE",8||||||||,Very High Risk,89%,3.4,84.3
"Taysom Hill, TE NO",10||||||||||,Medium Risk,14%,0.4,84.2
"Kyle Rudolph, TE TB",12||||||||||||,Very Low Risk,28%,0.6,77.2
"Tyler Conklin, TE NYJ",3|||,Low Risk,31%,0.5,74.5
"C.J. Uzomah, TE NYJ",6||||||,Very Low Risk,27%,0.7,72.7
"Adam Trautman, TE NO",2||,Low Risk,31%,1.2,62.6
"Jared Cook, TE UNS",9|||||||||,High Risk,78%,3,54.6
"Josiah Deguara, TE GB",4||||,High Risk,85%,2.5,51.2
"Eric Ebron, TE UNS",10||||||||||,Very High Risk,86%,2.8,43.9
"Brycen Hopkins, TE LAR",1|,Very Low Risk,18%,0.8,40.2
"Foster Moreau, TE LVR",1|,Medium Risk,61%,1.6,36.8
"Rob Gronkowski, TE TB",21|||||||||||||||||||||,Very High Risk,94%,3.7,33.5
"Maxx Williams, TE ARI",12||||||||||||,Medium Risk,51%,0.8,28.6
"Hunter Long, TE MIA",1|,Low Risk,32%,0.6,25.2
"Chris Herndon, TE NO",3|||,Very High Risk,88%,2.8,23.8
"Jace Sternberger, TE UNS",2||,Low Risk,37%,0.9,23.4
"Cooper Kupp, WR LAR",5|||||,Medium Risk,75%,2,360
"Justin Jefferson, WR MIN",3|||,Low Risk,61%,1.6,335.6
"Ja'Marr Chase, WR CIN",1|,Very Low Risk,34%,1.1,319.5
"Stefon Diggs, WR BUF",7|||||||,Very Low Risk,39%,1.6,299.4
"Davante Adams, WR LVR",10||||||||||,High Risk,83%,3.6,298.1
"CeeDee Lamb, WR DAL",6||||||,Very Low Risk,24%,1.5,295.1
"Tyreek Hill, WR MIA",7|||||||,Medium Risk,75%,2.7,285
"Tee Higgins, WR CIN",6||||||,Very High Risk,91%,3.9,266.5
"D.J. Moore, WR CAR",4||||,Low Risk,59%,1.1,264.7
"Keenan Allen, WR LAC",12||||||||||||,High Risk,79%,4.4,255.8
"Mike Evans, WR TB",11|||||||||||,Low Risk,46%,1.9,254
"Michael Pittman, WR IND",6||||||,Very High Risk,91%,2.7,251.3
"Mike Williams, WR LAC",7|||||||,Very High Risk,93%,2.9,249.8
"A.J. Brown, WR PHI",6||||||,Low Risk,50%,1.2,245.3
"Brandin Cooks, WR HOU",5|||||,Very Low Risk,34%,1,244.8
"Deebo Samuel, WR SF",12||||||||||||,Medium Risk,74%,2.4,244.2
