"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"324","Kene Nwangwu",MIN,"RB100","3 out of 5 stars","4 out of 5 stars","-"
"325","Graham Gano",NYG,"K22","2 out of 5 stars","4 out of 5 stars","-80"
"326","Jauan Jennings",SF,"WR109","3 out of 5 stars","3 out of 5 stars","+21"
"327","Julius Chestnut",TEN,"RB101","4 out of 5 stars","3 out of 5 stars","-"
"328","Quez Watkins",PHI,"WR110","4 out of 5 stars","4 out of 5 stars","+14"
"329","Trey McBride",ARI,"TE32","3 out of 5 stars","4 out of 5 stars","-"
"330","Isaiah Likely",BAL,"TE33","1 out of 5 stars","4 out of 5 stars","-100"
"331","Cameron Brate",TB,"TE34","3 out of 5 stars","3 out of 5 stars","-83"
"332","Rico Dowdle",DAL,"RB102","4 out of 5 stars","3 out of 5 stars","-"
"333","Teddy Bridgewater",MIA,"QB39","0 out of 5 stars","0 out of 5 stars","-"
"334","Jason Myers",SEA,"K23","5 out of 5 stars","2 out of 5 stars","-48"
"335","Mike Boone",DEN,"RB103","2 out of 5 stars","2 out of 5 stars","-"
"336","Seattle Seahawks",SEA,"DST27","3 out of 5 stars","2 out of 5 stars","-33"
"337","Atlanta Falcons",ATL,"DST28","3 out of 5 stars","3 out of 5 stars","-"
"338","Deonte Harty",NO,"WR111","4 out of 5 stars","3 out of 5 stars","-"
"339","Taysom Hill",NO,"TE35","3 out of 5 stars","5 out of 5 stars","-128"
"340","Chicago Bears",CHI,"DST29","1 out of 5 stars","2 out of 5 stars","-72"
"341","Ty Chandler",MIN,"RB104","3 out of 5 stars","4 out of 5 stars","-"
"342","Calvin Austin III",PIT,"WR112","4 out of 5 stars","5 out of 5 stars","-"
"343","Harrison Bryant",CLE,"TE36","4 out of 5 stars","2 out of 5 stars","-"
"344","Benny Snell Jr.",PIT,"RB105","3 out of 5 stars","3 out of 5 stars","-"
"345","Velus Jones Jr.",CHI,"WR113","3 out of 5 stars","2 out of 5 stars","-"
"346","Jaret Patterson",WAS,"RB106","4 out of 5 stars","3 out of 5 stars","-"
"347","Tyrod Taylor",NYG,"QB40","0 out of 5 stars","0 out of 5 stars","-"
"348","Randy Bullock",TEN,"K24","5 out of 5 stars","4 out of 5 stars","-90"
