"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"115","Alexander Mattison",MIN,"RB47","3 out of 5 stars","4 out of 5 stars","+15"
"116","Elijah Mitchell",SF,"RB48","2 out of 5 stars","3 out of 5 stars","-67"
"117","Julio Jones",TB,"WR45","4 out of 5 stars","4 out of 5 stars","+24"
"118","Jakobi Meyers",NE,"WR46","4 out of 5 stars","4 out of 5 stars","+39"
"119","Tyler Boyd",CIN,"WR47","3 out of 5 stars","1 out of 5 stars","+14"
"120","Treylon Burks",TEN,"WR48","3 out of 5 stars","3 out of 5 stars","+6"
"121","Russell Gage",TB,"WR49","4 out of 5 stars","4 out of 5 stars","+22"
"122","Trevor Lawrence",JAC,"QB15","0 out of 5 stars","0 out of 5 stars","+29"
"123","Jarvis Landry",NO,"WR50","4 out of 5 stars","3 out of 5 stars","+30"
"124","Chase Claypool",PIT,"WR51","4 out of 5 stars","5 out of 5 stars","-13"
"125","DeAndre Hopkins",ARI,"WR52","2 out of 5 stars","3 out of 5 stars","-45"
"126","Justin Fields",CHI,"QB16","0 out of 5 stars","0 out of 5 stars","+20"
"127","Kenneth Gainwell",PHI,"RB49","2 out of 5 stars","2 out of 5 stars","+17"
"128","Rachaad White",TB,"RB50","2 out of 5 stars","2 out of 5 stars","+57"
"129","Curtis Samuel",WAS,"WR53","4 out of 5 stars","3 out of 5 stars","+148"
"130","Tyler Allgeier",ATL,"RB51","2 out of 5 stars","1 out of 5 stars","+51"
"131","George Pickens",PIT,"WR54","4 out of 5 stars","5 out of 5 stars","-11"
"132","Kadarius Toney",NYG,"WR55","3 out of 5 stars","3 out of 5 stars","-17"
"133","Gerald Everett",LAC,"TE11","4 out of 5 stars","2 out of 5 stars","+51"
"134","Carson Wentz",WAS,"QB17","0 out of 5 stars","0 out of 5 stars","+87"
"135","Kenyan Drake",BAL,"RB52","3 out of 5 stars","4 out of 5 stars","+81"
"136","James Cook",BUF,"RB53","4 out of 5 stars","3 out of 5 stars","-20"
"137","Marquez Valdes-Scantling",KC,"WR56","2 out of 5 stars","2 out of 5 stars","+11"
"138","Robert Woods",TEN,"WR57","3 out of 5 stars","3 out of 5 stars","-36"
"139","Isaiah McKenzie",BUF,"WR58","3 out of 5 stars","3 out of 5 stars","+36"
"140","Tyrion Davis-Price",SF,"RB54","2 out of 5 stars","3 out of 5 stars","+102"
"141","Joshua Palmer",LAC,"WR59","3 out of 5 stars","3 out of 5 stars","+53"
"142","Dawson Knox",BUF,"TE12","4 out of 5 stars","4 out of 5 stars","-51"
"143","Isiah Pacheco",KC,"RB55","3 out of 5 stars","3 out of 5 stars","+52"
"144","Rex Burkhead",HOU,"RB56","3 out of 5 stars","3 out of 5 stars","+96"
"145","Darrel Williams",ARI,"RB57","2 out of 5 stars","4 out of 5 stars","+86"
"146","Jared Goff",DET,"QB18","0 out of 5 stars","0 out of 5 stars","+63"
"147","Tyler Higbee",LAR,"TE13","3 out of 5 stars","4 out of 5 stars","+5"
"148","J.D. McKissic",WAS,"RB58","4 out of 5 stars","3 out of 5 stars","+11"
"149","Cole Kmet",CHI,"TE14","4 out of 5 stars","3 out of 5 stars","-32"
"150","Jameis Winston",NO,"QB19","0 out of 5 stars","0 out of 5 stars","+11"
"151","Eno Benjamin",ARI,"RB59","2 out of 5 stars","4 out of 5 stars","+100"
"152","David Njoku",CLE,"TE15","4 out of 5 stars","2 out of 5 stars","+4"
"153","Jerick McKinnon",KC,"RB60","3 out of 5 stars","3 out of 5 stars","+71"
"154","Hayden Hurst",CIN,"TE16","2 out of 5 stars","2 out of 5 stars","+42"
"155","Skyy Moore",KC,"WR60","2 out of 5 stars","2 out of 5 stars","-15"
"156","Daniel Jones",NYG,"QB20","0 out of 5 stars","0 out of 5 stars","+51"
"157","Jaylen Warren",PIT,"RB61","3 out of 5 stars","3 out of 5 stars","+150"
"158","Mecole Hardman",KC,"WR61","2 out of 5 stars","2 out of 5 stars","+5"
"159","Buffalo Bills",BUF,"DST1","1 out of 5 stars","5 out of 5 stars","-65"
"160","D.J. Chark Jr.",DET,"WR62","3 out of 5 stars","4 out of 5 stars","-15"
"161","San Francisco 49ers",SF,"DST2","5 out of 5 stars","4 out of 5 stars","-47"
"162","Tampa Bay Buccaneers",TB,"DST3","2 out of 5 stars","3 out of 5 stars","-54"
"163","DeVante Parker",NE,"WR63","4 out of 5 stars","4 out of 5 stars","-8"
"164","Matt Ryan",IND,"QB21","0 out of 5 stars","0 out of 5 stars","+5"
"165","New Orleans Saints",NO,"DST4","2 out of 5 stars","0 out of 5 stars","-34"
"166","Los Angeles Chargers",LAC,"DST5","2 out of 5 stars","4 out of 5 stars","-19"
"167","Marcus Mariota",ATL,"QB22","0 out of 5 stars","0 out of 5 stars","+62"
"168","Dallas Cowboys",DAL,"DST6","2 out of 5 stars","2 out of 5 stars","-33"
"169","Rondale Moore",ARI,"WR64","2 out of 5 stars","3 out of 5 stars","+13"
"170","Ameer Abdullah",LV,"RB62","2 out of 5 stars","2 out of 5 stars","+91"
"171","Samaje Perine",CIN,"RB63","3 out of 5 stars","3 out of 5 stars","+99"
"172","Mac Jones",NE,"QB23","0 out of 5 stars","0 out of 5 stars","+11"
"173","Robbie Anderson",CAR,"WR65","3 out of 5 stars","2 out of 5 stars","+25"
"174","Denver Broncos",DEN,"DST7","3 out of 5 stars","2 out of 5 stars","-10"
"175","Justin Tucker",BAL,"K1","3 out of 5 stars","2 out of 5 stars","-71"
"176","Nico Collins",HOU,"WR66","4 out of 5 stars","4 out of 5 stars","+30"
"177","Los Angeles Rams",LAR,"DST8","3 out of 5 stars","4 out of 5 stars","-56"
"178","Irv Smith Jr.",MIN,"TE17","3 out of 5 stars","3 out of 5 stars","-5"
"179","Tyler Bass",BUF,"K2","1 out of 5 stars","3 out of 5 stars","-50"
"180","Mark Ingram II",NO,"RB64","3 out of 5 stars","4 out of 5 stars","-2"
"181","Matt Gay",LAR,"K3","3 out of 5 stars","3 out of 5 stars","-49"
"182","Dak Prescott",DAL,"QB24","0 out of 5 stars","0 out of 5 stars","-105"
"183","Daniel Carlson",LV,"K4","2 out of 5 stars","0 out of 5 stars","-56"
"184","New England Patriots",NE,"DST9","3 out of 5 stars","5 out of 5 stars","-24"
"185","Evan McPherson",CIN,"K5","0 out of 5 stars","0 out of 5 stars","-62"
"186","Harrison Butker",KC,"K6","4 out of 5 stars","5 out of 5 stars","-64"
"187","Zack Moss",BUF,"RB65","4 out of 5 stars","3 out of 5 stars","+94"
"188","Green Bay Packers",GB,"DST10","4 out of 5 stars","3 out of 5 stars","-49"
"189","Ryan Succop",TB,"K7","4 out of 5 stars","5 out of 5 stars","-12"
"190","K.J. Osborn",MIN,"WR67","2 out of 5 stars","3 out of 5 stars","+46"
"191","Jameson Williams",DET,"WR68","3 out of 5 stars","4 out of 5 stars","+27"
"192","Christian Watson",GB,"WR69","3 out of 5 stars","4 out of 5 stars","+10"
"193","Wan'Dale Robinson",NYG,"WR70","3 out of 5 stars","3 out of 5 stars","+41"
"194","Romeo Doubs",GB,"WR71","3 out of 5 stars","4 out of 5 stars","-20"
"195","Logan Thomas",WAS,"TE18","4 out of 5 stars","2 out of 5 stars","+27"
"196","Zamir White",LV,"RB66","2 out of 5 stars","2 out of 5 stars","-5"
"197","Ryan Tannehill",TEN,"QB25","0 out of 5 stars","0 out of 5 stars","-17"
"198","Baltimore Ravens",BAL,"DST11","4 out of 5 stars","1 out of 5 stars","-44"
"199","Sony Michel",LAC,"RB67","2 out of 5 stars","2 out of 5 stars","+60"
"200","Zay Jones",JAC,"WR72","4 out of 5 stars","4 out of 5 stars","+99"
"201","Cleveland Browns",CLE,"DST12","4 out of 5 stars","4 out of 5 stars","-11"
"202","Miami Dolphins",MIA,"DST13","3 out of 5 stars","4 out of 5 stars","-37"
"203","Albert Okwuegbunam",DEN,"TE19","2 out of 5 stars","2 out of 5 stars","-37"
"204","Indianapolis Colts",IND,"DST14","3 out of 5 stars","2 out of 5 stars","-86"
"205","Parris Campbell",IND,"WR73","3 out of 5 stars","3 out of 5 stars","+38"
"206","Isaiah Spiller",LAC,"RB68","2 out of 5 stars","2 out of 5 stars","+8"
"207","Matt Prater",ARI,"K8","2 out of 5 stars","4 out of 5 stars","-58"
"208","Davis Mills",HOU,"QB26","0 out of 5 stars","0 out of 5 stars","+63"
"209","D'Ernest Johnson",CLE,"RB69","3 out of 5 stars","1 out of 5 stars","+76"
"210","Jimmy Garoppolo",SF,"QB27","0 out of 5 stars","0 out of 5 stars","+72"
"211","Baker Mayfield",CAR,"QB28","0 out of 5 stars","0 out of 5 stars","-23"
"212","Dontrell Hilliard",TEN,"RB70","4 out of 5 stars","3 out of 5 stars","+40"
"213","Sterling Shepard",NYG,"WR74","3 out of 5 stars","3 out of 5 stars","+104"
"214","Chris Evans",CIN,"RB71","3 out of 5 stars","3 out of 5 stars","+122"
"215","Boston Scott",PHI,"RB72","2 out of 5 stars","2 out of 5 stars","+69"
"216","Deshaun Watson",CLE,"QB29","0 out of 5 stars","0 out of 5 stars","-29"
"217","Hunter Henry",NE,"TE20","4 out of 5 stars","4 out of 5 stars","-92"
"218","Evan Engram",JAC,"TE21","4 out of 5 stars","5 out of 5 stars","-32"
"219","Corey Davis",NYJ,"WR75","1 out of 5 stars","2 out of 5 stars","+22"
"220","Kansas City Chiefs",KC,"DST15","5 out of 5 stars","3 out of 5 stars","-23"
"221","Philadelphia Eagles",PHI,"DST16","3 out of 5 stars","5 out of 5 stars","-32"
"222","Marvin Jones Jr.",JAC,"WR76","4 out of 5 stars","4 out of 5 stars","-19"
"223","Joshua Kelley",LAC,"RB73","2 out of 5 stars","2 out of 5 stars","+64"
"224","Damien Williams",ATL,"RB74","2 out of 5 stars","1 out of 5 stars","+56"
"225","Kyle Philips",TEN,"WR77","3 out of 5 stars","3 out of 5 stars","-"
"226","D'Onta Foreman",CAR,"RB75","3 out of 5 stars","4 out of 5 stars","+2"
"227","Rodrigo Blankenship",FA,"K9","-","-","-19"
"228","Michael Gallup",DAL,"WR78","3 out of 5 stars","4 out of 5 stars","-92"
"229","K.J. Hamler",DEN,"WR79","5 out of 5 stars","3 out of 5 stars","+26"
"230","Jason Sanders",MIA,"K10","0 out of 5 stars","1 out of 5 stars","+35"
"231","Jalen Tolbert",DAL,"WR80","3 out of 5 stars","4 out of 5 stars","-31"
"232","Pittsburgh Steelers",PIT,"DST17","4 out of 5 stars","4 out of 5 stars","-60"
"233","Mike Davis",BAL,"RB76","3 out of 5 stars","4 out of 5 stars","+21"
"234","Zach Wilson",NYJ,"QB30","0 out of 5 stars","0 out of 5 stars","+1"
"235","Sammy Watkins",GB,"WR81","3 out of 5 stars","4 out of 5 stars","-22"
"236","Donovan Peoples-Jones",CLE,"WR82","3 out of 5 stars","4 out of 5 stars","+24"
"237","Wil Lutz",NO,"K11","2 out of 5 stars","2 out of 5 stars","-33"
"238","Chuba Hubbard",CAR,"RB77","3 out of 5 stars","4 out of 5 stars","-28"
"239","Alec Pierce",IND,"WR83","3 out of 5 stars","3 out of 5 stars","-16"
"240","Cincinnati Bengals",CIN,"DST18","2 out of 5 stars","5 out of 5 stars","-25"
"241","Matt Breida",NYG,"RB78","3 out of 5 stars","3 out of 5 stars","+21"
"242","Robbie Gould",SF,"K12","4 out of 5 stars","3 out of 5 stars","-50"
"243","Van Jefferson",LAR,"WR84","3 out of 5 stars","2 out of 5 stars","-18"
"244","Geno Smith",SEA,"QB31","0 out of 5 stars","0 out of 5 stars","-"
"245","Gus Edwards",BAL,"RB79","3 out of 5 stars","4 out of 5 stars","+22"
"246","Mike Gesicki",MIA,"TE22","3 out of 5 stars","3 out of 5 stars","-122"
"247","Jamison Crowder",BUF,"WR85","3 out of 5 stars","3 out of 5 stars","+29"
"248","Tyler Conklin",NYJ,"TE23","3 out of 5 stars","4 out of 5 stars","+44"
"249","Jacoby Brissett",CLE,"QB32","0 out of 5 stars","0 out of 5 stars","-"
"250","Jake Elliott",PHI,"K13","5 out of 5 stars","3 out of 5 stars","-24"
"251","Brandon McManus",DEN,"K14","2 out of 5 stars","3 out of 5 stars","-81"
"252","A.J. Green",ARI,"WR86","2 out of 5 stars","3 out of 5 stars","-8"
