"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"90","Nelson Agholor",NE,"4 out of 5 stars","4 out of 5 stars","88.5","-"
"91","David Bell",CLE,"3 out of 5 stars","4 out of 5 stars","91.2","-7"
"92","Nick Westbrook-Ikhine",TEN,"3 out of 5 stars","3 out of 5 stars","85.5","-"
"93","Braxton Berrios",NYJ,"1 out of 5 stars","2 out of 5 stars","85.5","-7"
"94","Byron Pringle",CHI,"3 out of 5 stars","2 out of 5 stars","84.0","-"
"95","Cedrick Wilson Jr.",MIA,"2 out of 5 stars","1 out of 5 stars","84.0","-"
"96","Devin Duvernay",BAL,"2 out of 5 stars","3 out of 5 stars","79.5","-"
"97","Marquez Callaway",NO,"4 out of 5 stars","3 out of 5 stars","78.0","-5"
"98","Laviska Shenault Jr.",CAR,"3 out of 5 stars","2 out of 5 stars","75.0","-7"
"99","Josh Reynolds",DET,"3 out of 5 stars","4 out of 5 stars","70.5","-"
"100","Terrace Marshall Jr.",CAR,"3 out of 5 stars","2 out of 5 stars","73.6","-"
"101","Mack Hollins",LV,"2 out of 5 stars","2 out of 5 stars","69.0","-"
"102","Noah Brown",DAL,"3 out of 5 stars","4 out of 5 stars","66.0","-"
"103","Odell Beckham Jr.",FA,"-","-","70.4","-36"
"104","Equanimeous St. Brown",CHI,"3 out of 5 stars","2 out of 5 stars","66.0","-"
"105","Justin Watson",KC,"2 out of 5 stars","2 out of 5 stars","66.0","-"
"106","Danny Gray",SF,"3 out of 5 stars","3 out of 5 stars","68.8","-"
"107","Bryan Edwards",ATL,"3 out of 5 stars","4 out of 5 stars","64.5","-"
"108","James Proche II",BAL,"2 out of 5 stars","3 out of 5 stars","60.8","-"
"109","Quez Watkins",PHI,"4 out of 5 stars","4 out of 5 stars","55.5","-"
"110","Jauan Jennings",SF,"3 out of 5 stars","3 out of 5 stars","51.0","-"
"111","Calvin Austin III",PIT,"4 out of 5 stars","5 out of 5 stars","54.4","-"
"112","Deonte Harty",NO,"4 out of 5 stars","3 out of 5 stars","51.0","-"
"113","Velus Jones Jr.",CHI,"3 out of 5 stars","2 out of 5 stars","54.4","-"
"114","Tyquan Thornton",NE,"4 out of 5 stars","4 out of 5 stars","52.8","-"
"115","William Fuller V",FA,"-","-","51.2","-"
"116","Tutu Atwell",LAR,"3 out of 5 stars","2 out of 5 stars","49.6","-"
"117","Olamide Zaccheaus",ATL,"3 out of 5 stars","4 out of 5 stars","46.5","-"
"118","Amari Rodgers",GB,"3 out of 5 stars","4 out of 5 stars","49.6","-"
"119","Khalil Shakir",BUF,"3 out of 5 stars","3 out of 5 stars","46.4","-"
"120","Tylan Wallace",BAL,"2 out of 5 stars","3 out of 5 stars","46.4","-"
"121","Jalen Reagor",MIN,"2 out of 5 stars","3 out of 5 stars","42.0","-"
"122","Tre'Quan Smith",NO,"4 out of 5 stars","3 out of 5 stars","42.0","-"
"123","Darius Slayton",NYG,"3 out of 5 stars","3 out of 5 stars","42.0","-"
"124","Ben Skowronek",LAR,"3 out of 5 stars","2 out of 5 stars","43.2","-"
"125","Kalif Raymond",DET,"3 out of 5 stars","4 out of 5 stars","39.0","-"
"126","Zach Pascal",PHI,"4 out of 5 stars","4 out of 5 stars","39.0","-"
"127","Tyler Johnson",HOU,"4 out of 5 stars","4 out of 5 stars","37.5","-"
