"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"71","Chris Evans",CIN,"3 out of 5 stars","3 out of 5 stars","48.0","+19"
"72","Boston Scott",PHI,"2 out of 5 stars","2 out of 5 stars","39.0","+4"
"73","Damien Williams",ATL,"2 out of 5 stars","1 out of 5 stars","36.0","+8"
"74","D'Onta Foreman",CAR,"3 out of 5 stars","4 out of 5 stars","34.5","-13"
"75","Joshua Kelley",LAC,"2 out of 5 stars","2 out of 5 stars","34.5","+10"
"76","Mike Davis",BAL,"3 out of 5 stars","4 out of 5 stars","34.5","-7"
"77","Chuba Hubbard",CAR,"3 out of 5 stars","4 out of 5 stars","33.0","-19"
"78","Ty Montgomery",NE,"4 out of 5 stars","3 out of 5 stars","33.0","-"
"79","Matt Breida",NYG,"3 out of 5 stars","3 out of 5 stars","33.0","-8"
"80","Gus Edwards",BAL,"3 out of 5 stars","4 out of 5 stars","33.0","+7"
"81","Giovani Bernard",TB,"2 out of 5 stars","2 out of 5 stars","33.0","-"
"82","Jordan Mason",SF,"2 out of 5 stars","3 out of 5 stars","33.6","-9"
"83","Hassan Haskins",TEN,"4 out of 5 stars","3 out of 5 stars","32.0","+3"
"84","Ke'Shawn Vaughn",TB,"2 out of 5 stars","2 out of 5 stars","30.0","-5"
"85","Tyler Badie",BAL,"3 out of 5 stars","4 out of 5 stars","30.4","-"
"86","Ronald Jones II",KC,"3 out of 5 stars","3 out of 5 stars","27.0","-29"
"87","Jerome Ford",CLE,"3 out of 5 stars","1 out of 5 stars","28.8","-"
"88","Trey Sermon",PHI,"2 out of 5 stars","2 out of 5 stars","28.8","-5"
"89","Snoop Conner",JAC,"4 out of 5 stars","4 out of 5 stars","28.8","-"
"90","Pierre Strong Jr.",NE,"4 out of 5 stars","3 out of 5 stars","28.8","-"
"91","Ty Johnson",NYJ,"4 out of 5 stars","4 out of 5 stars","25.5","-"
"92","Travis Homer",SEA,"3 out of 5 stars","3 out of 5 stars","24.0","-"
"93","Craig Reynolds",DET,"4 out of 5 stars","4 out of 5 stars","25.6","-"
"94","Trestan Ebner",CHI,"5 out of 5 stars","4 out of 5 stars","25.6","-"
"95","Myles Gaskin",MIA,"4 out of 5 stars","4 out of 5 stars","24.0","-36"
"96","Kyren Williams",LAR,"2 out of 5 stars","4 out of 5 stars","22.4","-"
"97","Keaontay Ingram",ARI,"2 out of 5 stars","4 out of 5 stars","22.4","-"
"98","Justin Jackson",DET,"4 out of 5 stars","4 out of 5 stars","21.0","-"
"99","Rico Dowdle",DAL,"4 out of 5 stars","3 out of 5 stars","20.8","-"
"100","Mike Boone",DEN,"2 out of 5 stars","2 out of 5 stars","18.0","-"
"101","Kene Nwangwu",MIN,"3 out of 5 stars","4 out of 5 stars","19.2","-"
"102","Darrynton Evans",CHI,"5 out of 5 stars","4 out of 5 stars","19.2","-"
"103","Ty Chandler",MIN,"3 out of 5 stars","4 out of 5 stars","19.2","-"
"104","Benny Snell Jr.",PIT,"3 out of 5 stars","3 out of 5 stars","18.0","-"
"105","Julius Chestnut",TEN,"4 out of 5 stars","3 out of 5 stars","19.2","-"
"106","Jaret Patterson",WAS,"4 out of 5 stars","3 out of 5 stars","18.0","-"
"107","Justice Hill",BAL,"3 out of 5 stars","4 out of 5 stars","16.5","-"
"108","Jerrion Ealy",KC,"3 out of 5 stars","3 out of 5 stars","17.6","-"
"109","Kylin Hill",GB,"3 out of 5 stars","2 out of 5 stars","16.0","-"
"110","DeeJay Dallas",SEA,"3 out of 5 stars","3 out of 5 stars","15.0","-28"
"111","Duke Johnson Jr.",BUF,"4 out of 5 stars","3 out of 5 stars","15.0","-"
"112","Kevin Harris",NE,"4 out of 5 stars","3 out of 5 stars","14.4","-"
"113","Deon Jackson",IND,"3 out of 5 stars","4 out of 5 stars","12.8","-"
"114","Phillip Lindsay",IND,"3 out of 5 stars","4 out of 5 stars","12.0","-"
"115","Marlon Mack",SF,"2 out of 5 stars","3 out of 5 stars","12.0","-52"
"116","Larry Rountree III",LAC,"2 out of 5 stars","2 out of 5 stars","12.8","-"
"117","D'Vonte Price",IND,"3 out of 5 stars","4 out of 5 stars","12.8","-"
"118","Kennedy Brooks",PHI,"2 out of 5 stars","2 out of 5 stars","12.8","-"
"119","Salvon Ahmed",MIA,"4 out of 5 stars","4 out of 5 stars","10.5","-"
"120","Zonovan Knight",NYJ,"4 out of 5 stars","4 out of 5 stars","11.2","-"
"121","Brandon Bolden",LV,"2 out of 5 stars","2 out of 5 stars","10.5","-47"
"122","Anthony McFarland Jr.",PIT,"3 out of 5 stars","3 out of 5 stars","10.5","-"
